pid,stim,hole_width,hole_class,condition,trial,goes_in,num_bounces,response,rt
0095f15b,B_0_0,200,far miss,7,26,False,0,False,1.439
0095f15b,B_0_1,100,far in,7,45,True,0,False,4.3839999999999995
0095f15b,B_0_10,200,far in,7,24,True,0,True,1.5230000000000001
0095f15b,B_0_11,100,close in,7,41,True,0,True,1.492
0095f15b,B_0_12,200,close in,7,33,True,0,True,3.008
0095f15b,B_0_13,100,close miss,7,34,False,0,False,1.493
0095f15b,B_0_14,200,close miss,7,51,False,0,False,1.165
0095f15b,B_0_15,100,far miss,7,54,False,0,False,0.687
0095f15b,B_0_2,200,far in,7,18,True,0,True,2.66
0095f15b,B_0_3,100,close in,7,38,True,0,True,1.23
0095f15b,B_0_4,200,close in,7,44,True,0,True,1.045
0095f15b,B_0_5,100,close miss,7,39,False,0,False,1.4340000000000002
0095f15b,B_0_6,200,close miss,7,1,False,0,False,4.315
0095f15b,B_0_7,100,far miss,7,32,False,0,False,1.535
0095f15b,B_0_8,200,far miss,7,15,False,0,False,4.9430000000000005
0095f15b,B_0_9,100,far in,7,48,True,0,True,0.8270000000000001
0095f15b,B_1_0,200,far miss,7,40,False,1,False,3.648
0095f15b,B_1_1,100,far in,7,36,True,1,False,2.951
0095f15b,B_1_10,200,far in,7,52,True,1,True,1.3230000000000002
0095f15b,B_1_11,100,close in,7,19,True,1,False,3.41
0095f15b,B_1_12,200,close in,7,46,True,1,True,1.744
0095f15b,B_1_13,100,close miss,7,5,False,1,False,4.678999999999999
0095f15b,B_1_14,200,close miss,7,17,False,1,False,2.571
0095f15b,B_1_15,100,far miss,7,9,False,1,False,1.023
0095f15b,B_1_2,200,far in,7,12,True,1,True,1.7069999999999999
0095f15b,B_1_3,100,close in,7,30,True,1,True,2.6430000000000002
0095f15b,B_1_4,200,close in,7,55,True,1,True,1.95
0095f15b,B_1_5,100,close miss,7,47,False,1,True,1.7480000000000002
0095f15b,B_1_6,200,close miss,7,43,False,1,True,2.475
0095f15b,B_1_7,100,far miss,7,37,False,1,False,2.085
0095f15b,B_1_8,200,far miss,7,31,False,1,True,1.761
0095f15b,B_1_9,100,far in,7,3,True,1,True,4.336
0095f15b,B_2_0,200,far miss,7,22,False,2,False,1.426
0095f15b,B_2_1,100,far in,7,10,True,2,True,2.575
0095f15b,B_2_10,200,far in,7,20,True,2,True,3.437
0095f15b,B_2_11,100,close in,7,53,True,2,True,2.0709999999999997
0095f15b,B_2_12,200,close in,7,16,True,2,False,2.092
0095f15b,B_2_13,100,close miss,7,2,False,2,False,5.2989999999999995
0095f15b,B_2_14,200,close miss,7,6,False,2,True,3.595
0095f15b,B_2_15,100,far miss,7,13,False,2,False,1.777
0095f15b,B_2_2,200,far in,7,23,True,2,True,1.972
0095f15b,B_2_3,100,close in,7,50,True,2,False,3.093
0095f15b,B_2_4,200,close in,7,29,True,2,True,1.7369999999999999
0095f15b,B_2_5,100,close miss,7,8,False,2,False,5.836
0095f15b,B_2_6,200,close miss,7,4,False,2,True,3.9560000000000004
