relation1,relation2,rating
aunt,aunt,1.0
aunt,daughter,0.41
aunt,father,0.26666666666666666
aunt,granddaughter,0.4266666666666666
aunt,grandfather,0.23500000000000001
aunt,grandmother,0.45166666666666666
aunt,grandson,0.21166666666666667
aunt,mother,0.4916666666666667
aunt,nephew,0.4366666666666667
aunt,niece,0.6766666666666666
aunt,son,0.20166666666666666
aunt,uncle,0.7316666666666666
daughter,aunt,0.41
daughter,daughter,1.0
daughter,father,0.4266666666666667
daughter,granddaughter,0.54
daughter,grandfather,0.22833333333333336
daughter,grandmother,0.46
daughter,grandson,0.2816666666666667
daughter,mother,0.6900000000000001
daughter,nephew,0.2583333333333333
daughter,niece,0.4783333333333333
daughter,son,0.7083333333333334
daughter,uncle,0.19833333333333333
father,aunt,0.26666666666666666
father,daughter,0.4266666666666667
father,father,1.0
father,granddaughter,0.21333333333333337
father,grandfather,0.49499999999999994
father,grandmother,0.25000000000000006
father,grandson,0.45666666666666655
father,mother,0.71
father,nephew,0.41
father,niece,0.18999999999999997
father,son,0.6849999999999999
father,uncle,0.49499999999999994
granddaughter,aunt,0.4266666666666666
granddaughter,daughter,0.54
granddaughter,father,0.21333333333333337
granddaughter,granddaughter,1.0
granddaughter,grandfather,0.43333333333333335
granddaughter,grandmother,0.6816666666666666
granddaughter,grandson,0.7083333333333334
granddaughter,mother,0.4583333333333333
granddaughter,nephew,0.26166666666666666
granddaughter,niece,0.49000000000000005
granddaughter,son,0.2783333333333333
granddaughter,uncle,0.20333333333333328
grandfather,aunt,0.23500000000000001
grandfather,daughter,0.22833333333333336
grandfather,father,0.49499999999999994
grandfather,granddaughter,0.43333333333333335
grandfather,grandfather,1.0
grandfather,grandmother,0.715
grandfather,grandson,0.6866666666666666
grandfather,mother,0.24833333333333338
grandfather,nephew,0.425
grandfather,niece,0.21000000000000005
grandfather,son,0.455
grandfather,uncle,0.4466666666666666
grandmother,aunt,0.45166666666666666
grandmother,daughter,0.46
grandmother,father,0.25000000000000006
grandmother,granddaughter,0.6816666666666666
grandmother,grandfather,0.715
grandmother,grandmother,1.0
grandmother,grandson,0.43
grandmother,mother,0.505
grandmother,nephew,0.20666666666666664
grandmother,niece,0.4183333333333333
grandmother,son,0.22166666666666668
grandmother,uncle,0.22833333333333336
grandson,aunt,0.21166666666666667
grandson,daughter,0.2816666666666667
grandson,father,0.45666666666666655
grandson,granddaughter,0.7083333333333334
grandson,grandfather,0.6866666666666666
grandson,grandmother,0.43
grandson,grandson,1.0
grandson,mother,0.215
grandson,nephew,0.49
grandson,niece,0.2633333333333333
grandson,son,0.5316666666666666
grandson,uncle,0.4216666666666667
mother,aunt,0.4916666666666667
mother,daughter,0.6900000000000001
mother,father,0.71
mother,granddaughter,0.4583333333333333
mother,grandfather,0.24833333333333338
mother,grandmother,0.505
mother,grandson,0.215
mother,mother,1.0
mother,nephew,0.18999999999999997
mother,niece,0.40499999999999997
mother,son,0.42999999999999994
mother,uncle,0.26833333333333337
nephew,aunt,0.4366666666666667
nephew,daughter,0.2583333333333333
nephew,father,0.41
nephew,granddaughter,0.26166666666666666
nephew,grandfather,0.425
nephew,grandmother,0.20666666666666664
nephew,grandson,0.49
nephew,mother,0.18999999999999997
nephew,nephew,1.0
nephew,niece,0.7283333333333334
nephew,son,0.48000000000000004
nephew,uncle,0.6749999999999999
niece,aunt,0.6766666666666666
niece,daughter,0.4783333333333333
niece,father,0.18999999999999997
niece,granddaughter,0.49000000000000005
niece,grandfather,0.21000000000000005
niece,grandmother,0.4183333333333333
niece,grandson,0.2633333333333333
niece,mother,0.40499999999999997
niece,nephew,0.7283333333333334
niece,niece,1.0
niece,son,0.25833333333333336
niece,uncle,0.4366666666666666
son,aunt,0.20166666666666666
son,daughter,0.7083333333333334
son,father,0.6849999999999999
son,granddaughter,0.2783333333333333
son,grandfather,0.455
son,grandmother,0.22166666666666668
son,grandson,0.5316666666666666
son,mother,0.42999999999999994
son,nephew,0.48000000000000004
son,niece,0.25833333333333336
son,son,1.0
son,uncle,0.4133333333333333
uncle,aunt,0.7316666666666666
uncle,daughter,0.19833333333333333
uncle,father,0.49499999999999994
uncle,granddaughter,0.20333333333333328
uncle,grandfather,0.4466666666666666
uncle,grandmother,0.22833333333333336
uncle,grandson,0.4216666666666667
uncle,mother,0.26833333333333337
uncle,nephew,0.6749999999999999
uncle,niece,0.4366666666666666
uncle,son,0.4133333333333333
uncle,uncle,1.0
